xx,yy,OBJECTID,Description,ParkType,Car_Park,Dog_Off_Leash_Area,Electric_BBQ,Picnic_Set,Rubbish_Bins,Shelter,Toilets,Water_Fountain,Basketball_Court,Play_Equipment,Playground_Area,Skate_Park,Exercise_Equipment,Suburb,ADDRESS,APS
509040.6034,6988975.8949,1093,Amity Park,Park\Local Recreatio,No,No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,KIPPA-RING,10 DRAMBUIE COURT KIPPA-RING,NO
496454.2513,7005474.1831,1094,Unnamed Park,Park\Local Recreatio,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,CABOOLTURE,29 BLUESTAR CIRCUIT CABOOLTURE,NO
505188.8117,6999119.736,1095,Clayton Park,Park\District Recrea,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,BEACHMERE,9-23 MORETON TERRACE BEACHMERE,NO
494323.5409,6970493.5636,1096,Mike Mcguill Park,Park\Local Recreatio,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,,,NO
502873.0316,6993698.5365,1097,Bancroft Memorial Park,Park\Local Recreatio,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,DECEPTION BAY,66-74 CAPTAIN COOK PARADE DECEPTION BAY,NO
489861.3738,6969698.0345,1098,Golden Spur Court Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,CAMP MOUNTAIN,8 GOLDEN SPUR COURT CAMP MOUNTAIN,NO
513796.2272,7007003.3886,1099,Sylvan Beach Esplanade,Park\District Foresh,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,,,No
488513.8187,7007529.4259,1100,Platypus Street Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,WAMURAN,80-86 CHAPMAN DRIVE WAMURAN,NO
511271.9558,6987212.2251,1101,Youth Park,Park\Regional Foresh,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,REDCLIFFE,20 MARINE PARADE REDCLIFFE,NO
508470.2648,6986552.4327,1102,Bill Rogers Park,Park\Local Recreatio,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,CLONTARF,220-270 ELIZABETH AVENUE CLONTARF,NO
510722.8618,6989041.2866,1103,Pearson Park,Park\Local Recreatio,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,No,REDCLIFFE,70-74 KLINGNER ROAD REDCLIFFE,NO
515704.0274,7004311.8353,1104,Chamber Of Commerce Park,Park\District Foresh,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,BONGAREE,6-48 WELSBY PARADE BONGAREE,NO
514387.5188,7007569.378,1105,Snadpiper Shores Park,Park\Linear Linkage,No,No,No,No,No,No,No,Yes,No,No,No,No,No,BANKSIA BEACH,81 MARINA BOULEVARD BANKSIA BEACH,NO
510380.086,6989415.1588,1106,Bellevue Park,Park\Local Recreatio,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,REDCLIFFE,51-69 SPORTSGROUND STREET REDCLIFFE,NO
494887.5047,6983189.031,1107,Fairlane Street Reserve,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,JOYNER,20 FAIRLANE STREET JOYNER,NO
496639.4283,6979535.6384,1108,Frahm Park,Park\Linear Linkage,No,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,,,NO
503941.9325,6990099.8771,1109,Halamka Park,Park\Local Recreatio,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,ROTHWELL,24 GREENE STREET ROTHWELL,NO
508274.4754,6987667.1945,1110,MacDonnell Road Reserve (Mille,Park\Amenity Park,No,No,No,No,No,No,No,No,No,No,No,No,No,CLONTARF,254-278 MACDONNELL ROAD CLONTARF,NO
502753.932,6989640.0184,1111,Greygum Street Park,Park\Local Recreatio,No,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No,NORTH LAKES,9 GREYGUM STREET NORTH LAKES,NO
496941.4681,7008046.1665,1112,Wodhams Road Park,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,CABOOLTURE,2 WODHAMS ROAD CABOOLTURE,NO
500860.2162,6990034.2797,1113,Bettong Place Park,Park\Local Recreatio,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,NORTH LAKES,40 PLANIGALE CRESCENT NORTH LAKES,NO
500086.2087,6987696.6522,1114,Jillian Street Reserve,Park\Local Recreatio,No,No,No,No,No,No,No,No,No,No,No,No,No,KALLANGUR,8 MIKAELA COURT KALLANGUR,NO
488836.2163,6972069.7735,1115,Corbett Street Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,SAMFORD VILLAGE,149 SAMFORD ROAD SAMFORD VILLAGE,NO
499292.0463,6985776.7482,1116,Kallangur Town Memorial Park,Park\Local Civic Par,No,No,No,No,No,No,No,Yes,No,No,No,No,No,KALLANGUR,1397 ANZAC AVENUE KALLANGUR,NO
499092.1101,6978302.5784,1117,Centenary Way Reserve (West),Park\Amenity Park,No,No,No,No,No,No,No,No,No,No,No,No,No,BRENDALE,12 KREMZOW ROAD BRENDALE,NO
509446.4837,6987127.7168,1118,Bingarra Park,Park\Local Recreatio,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,MARGATE,9 TUDOR COURT MARGATE,NO
494162.2355,7012182.3775,1119,Twin View Road Park,Park\Local Recreatio,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,ELIMBAH,18 TWIN VIEW ROAD ELIMBAH,NO
502654.4213,6991279.2805,1120,Lynette Court Reserve,Park\Linear Linkage,No,No,No,No,Yes,No,No,No,No,No,No,No,No,DECEPTION BAY,14 LYNETTE COURT DECEPTION BAY,NO
493419.0628,6971047.6117,1121,Torwood Court Reserve,Park\Local Recreatio,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,FERNY HILLS,2 TORWOOD COURT FERNY HILLS,NO
514074.3597,7007110.552,1122,Clayton Park (Bellara),Park\Local Recreatio,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,BELLARA,20 WARRIGAL STREET BELLARA,NO
496572.0382,6994988.6389,1123,Fernando Street Park,Park\Linear Linkage,No,No,No,No,No,No,No,No,No,No,No,No,No,BURPENGARY,82 FERNANDO STREET BURPENGARY,NO
499088.7876,6997224.7714,1124,Fountain Road Reserve,Park\Amenity Park,No,No,No,No,No,No,No,No,No,No,No,No,No,BURPENGARY EAST,1 LEWINS PLACE BURPENGARY EAST,NO
508100.1215,6989461.504,1125,Lionheart Crescent Park,Park\Linear Linkage,No,No,No,No,Yes,No,No,No,No,No,No,No,No,NEWPORT,99 SPINNAKER BOULEVARD NEWPORT,NO
496442.3674,6974996.9953,1126,Robert Morgan Park,Park\Local Recreatio,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,ALBANY CREEK,8-12 WYLAH COURT ALBANY CREEK,NO
